LipidSpecies,LipidClass,Mass,IsobaricClass,ChemicalFormula,DerivatizedForm,AdductIon,LipidCategory,ScanPolarity,Intensity:240506_lung_WT_45084_a.mzML,Intensity:240506_lung_WT_45083_b.mzML,Intensity:240506_lung_KO_44938_a.mzML,Intensity:240506_Blank_49932_a.mzML,Intensity:240506_lung_KO_44939_b.mzML,Intensity:240506_Blank_49932_b.mzML,Intensity:240506_QC_49936_a.mzML,Intensity:240506_lung_KO_44939_a.mzML,Intensity:240506_lung_KO_44938_b.mzML,Intensity:240506_lung_WT_45084_b.mzML,Intensity:240506_lung_WT_45083_a.mzML,Intensity:240506_QC_49936_b.mzML,IdentificationLevel,QuantificationIon,PrecursorIdentifier,FragmentAIdentifier,FragmentBIdentifier,FragmentCIdentifier,PrecursorIntensity:240506_lung_WT_45084_a.mzML,PrecursorIntensity:240506_lung_WT_45083_b.mzML,PrecursorIntensity:240506_lung_KO_44938_a.mzML,PrecursorIntensity:240506_Blank_49932_a.mzML,PrecursorIntensity:240506_lung_KO_44939_b.mzML,PrecursorIntensity:240506_Blank_49932_b.mzML,PrecursorIntensity:240506_QC_49936_a.mzML,PrecursorIntensity:240506_lung_KO_44939_a.mzML,PrecursorIntensity:240506_lung_KO_44938_b.mzML,PrecursorIntensity:240506_lung_WT_45084_b.mzML,PrecursorIntensity:240506_lung_WT_45083_a.mzML,PrecursorIntensity:240506_QC_49936_b.mzML,FragmentAIntensity:240506_lung_WT_45084_a.mzML,FragmentAIntensity:240506_lung_WT_45083_b.mzML,FragmentAIntensity:240506_lung_KO_44938_a.mzML,FragmentAIntensity:240506_Blank_49932_a.mzML,FragmentAIntensity:240506_lung_KO_44939_b.mzML,FragmentAIntensity:240506_Blank_49932_b.mzML,FragmentAIntensity:240506_QC_49936_a.mzML,FragmentAIntensity:240506_lung_KO_44939_a.mzML,FragmentAIntensity:240506_lung_KO_44938_b.mzML,FragmentAIntensity:240506_lung_WT_45084_b.mzML,FragmentAIntensity:240506_lung_WT_45083_a.mzML,FragmentAIntensity:240506_QC_49936_b.mzML,FragmentBIntensity:240506_lung_WT_45084_a.mzML,FragmentBIntensity:240506_lung_WT_45083_b.mzML,FragmentBIntensity:240506_lung_KO_44938_a.mzML,FragmentBIntensity:240506_Blank_49932_a.mzML,FragmentBIntensity:240506_lung_KO_44939_b.mzML,FragmentBIntensity:240506_Blank_49932_b.mzML,FragmentBIntensity:240506_QC_49936_a.mzML,FragmentBIntensity:240506_lung_KO_44939_a.mzML,FragmentBIntensity:240506_lung_KO_44938_b.mzML,FragmentBIntensity:240506_lung_WT_45084_b.mzML,FragmentBIntensity:240506_lung_WT_45083_a.mzML,FragmentBIntensity:240506_QC_49936_b.mzML,FragmentCIntensity:240506_lung_WT_45084_a.mzML,FragmentCIntensity:240506_lung_WT_45083_b.mzML,FragmentCIntensity:240506_lung_KO_44938_a.mzML,FragmentCIntensity:240506_Blank_49932_a.mzML,FragmentCIntensity:240506_lung_KO_44939_b.mzML,FragmentCIntensity:240506_Blank_49932_b.mzML,FragmentCIntensity:240506_QC_49936_a.mzML,FragmentCIntensity:240506_lung_KO_44939_a.mzML,FragmentCIntensity:240506_lung_KO_44938_b.mzML,FragmentCIntensity:240506_lung_WT_45084_b.mzML,FragmentCIntensity:240506_lung_WT_45083_a.mzML,FragmentCIntensity:240506_QC_49936_b.mzML,PrecursorERRppm,FragmentAERRppm,FragmentBERRppm,FragmentCERRppm,FragmentAMass,FragmentBMass,FragmentCMass,FragmentAAdductIon,FragmentBAdductIon,FragmentCAdductIon,FragmentAChemicalFormula,FragmentBChemicalFormula,FragmentCChemicalFormula,NeutralChemicalFormula
IS PS 15:0-18:1(+[2]H7),PS,753.5423758595575,,C39 H66 D7 O10 N1 P1,,-H+,Internal standard,negative,63316.8,51886.3,65160.6,129058.4,52449.6,137545.3,56686.4,53020.4,54023.9,59364.6,51522.0,58839.3,MS2,FragmentB,[PS 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),-PS(87),216563.1,159965.1,243346.3,368086.5,165942.2,373735.0,192183.3,179228.6,205670.0,216465.1,181510.8,221901.6,146951.0,125367.0,164437.2,313341.8,123812.6,373363.8,155101.1,162193.0,142215.7,152478.0,113089.1,159438.8,63316.8,51886.3,65160.6,129058.4,52449.6,137545.3,56686.4,53020.4,54023.9,59364.6,51522.0,58839.3,9476.9,4763.9,8129.6,14810.7,8816.1,20221.1,9549.0,6454.0,8648.9,7857.2,8523.5,9016.1,0.9,1.62,0.53,869421.38,241.2176971435547,288.2926940917969,666.5105590820312,-H+,-H+,-H+,C15 H29 O2,C18 H26 D7 O2,C36 H61 D7 O8 P1,C39 H67 D7 O10 N1 P1
IS PC 15:0-18:1(+[2]H7),PC,811.6208299089363,,C43 H76 D7 O10 N1 P1,,+CH3COO-,Internal standard,negative,1785880.8,2035178.4,2499281.2,5403619.5,2160885.0,4863486.5,1903012.3,2234885.1,2029648.3,2375848.9,2142001.7,2677680.2,MS2,FragmentB,[PC 15:0_18:1(+[2]H7) +CH3COO]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),-PC(74),1729250.2,1506266.9,2099010.1,4235779.7,2010291.5,4287984.8,1659530.8,1746278.6,1755321.3,1930954.9,1610836.0,2094147.0,561374.2,672122.2,906938.0,1805707.6,707529.9,1614289.4,660171.2,722617.5,703495.8,794373.3,689749.5,931000.9,1785880.8,2035178.4,2499281.2,5403619.5,2160885.0,4863486.5,1903012.3,2234885.1,2029648.3,2375848.9,2142001.7,2677680.2,48974.2,43271.1,54296.1,123803.5,44711.3,113596.2,44562.7,62189.4,45217.2,52244.2,54842.6,82232.0,1.09,1.62,0.42,899622.51,241.2176971435547,288.29266357421875,737.58349609375,-H+,-H+,-H+,C15 H29 O2,C18 H26 O2 D7,C40 H70 D7 O8 N1 P1,C41 H73 D7 O8 N1 P1
IS PA 15:0-18:1(+[2]H7),PA,666.5103505959994,,C36 H61 D7 O8 P1,,-H+,Internal standard,negative,101431.4,48604.0,73065.7,167528.9,48295.2,152975.5,105960.6,52153.3,70048.2,118674.6,44486.1,108871.7,MS2,FragmentB,[PA 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),,345273.5,162578.2,204409.2,550015.6,144820.3,540387.3,339303.6,107089.1,213928.6,385472.4,110461.9,347679.4,308892.3,132599.4,207230.5,516571.7,144862.2,446073.7,318966.1,153606.5,185256.7,341292.0,133281.6,307633.5,101431.4,48604.0,73065.7,167528.9,48295.2,152975.5,105960.6,52153.3,70048.2,118674.6,44486.1,108871.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.5,0.53,,241.21766662597656,288.2926940917969,,-H+,-H+,,C15 H29 O2,C18 H26 O2 D7,,C36 H62 D7 O8 P1
IS Cardiolipin(+[2]H5) (18:2/18:2)(18:2/18:2),CL,726.4970207589158,,C80 Ci1 H135 D5 O17 P2,,-2H+,Internal standard,negative,1691198.7,1438089.1,1830343.5,3381855.9,1471264.4,3739908.5,1602033.1,1693987.3,1558243.9,1751126.9,1397277.9,1860097.0,MS1,Precursor,[CL(+[2]H5) 72:8 -2H]-,FA 18:2 (+O),,,1691198.7,1438089.1,1830343.5,3381855.9,1471264.4,3739908.5,1602033.1,1693987.3,1558243.9,1751126.9,1397277.9,1860097.0,5092628.7,3524429.7,5327073.5,7846859.5,4551942.4,9492327.6,5022154.3,4829908.3,4716378.7,5267248.3,4060857.4,4854122.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.28,,,279.2330322265625,,,-H+,,,C18 H31 O2,,,C80 Ci1 H137 D5 O17 P2
IS Cer 18:1;(OH)2(+[2]H7)/15:0,Cer,589.5546311761792,,C35 H61 D7 N1 O5,,+CH3COO-,Internal standard,negative,5313862.5,3533323.5,3884695.2,13643232.2,3972910.0,14542448.6,5526982.2,3536928.4,3643023.5,6118160.1,3479599.6,6354949.1,MS1,Precursor,[Cer 33:1;2(+CH3COO)-],,,,5313862.5,3533323.5,3884695.2,13643232.2,3972910.0,14542448.6,5526982.2,3536928.4,3643023.5,6118160.1,3479599.6,6354949.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,,,,,,,,,,,,,C33 H58 D7 N1 O3
IS PE 15:0-18:1(+[2]H7),PE,709.5527001440604,,C38 H66 D7 O8 N1 P1,,-H+,Internal standard,negative,162036.6,178713.1,266991.5,365933.2,229204.1,391693.3,178006.3,226734.2,236208.5,185913.3,227558.5,189900.2,MS2,FragmentB,[PE 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),,111989.4,120831.7,174845.6,285114.0,170782.3,292256.5,102444.6,155312.8,152127.7,148294.7,129365.3,104515.2,54012.2,59450.5,93037.5,122743.0,83610.9,131898.6,60294.5,88328.4,74913.5,58021.2,77683.5,66003.7,162036.6,178713.1,266991.5,365933.2,229204.1,391693.3,178006.3,226734.2,236208.5,185913.3,227558.5,189900.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,1.56,0.53,,241.2176818847656,288.2926940917969,,-H+,-H+,,C15 H29 O2,C18 H26 O2 D7,,C38 H67 D7 O8 N1 P1
IS PI 15:0-18:1(+[2]H7),PI,828.5629360157449,,C42 H71 D7 O13 P1,,-H+,Internal standard,negative,72522.1,65639.8,101920.6,179836.3,80418.6,150521.3,71171.7,80455.9,72154.1,87014.9,87625.3,77387.2,MS2,FragmentB,[PI 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),PI(241),224071.3,186078.2,229172.2,463510.7,201746.3,453915.3,216724.8,178704.4,206160.5,212750.9,196395.4,209573.9,73957.5,65757.6,95486.1,160886.9,71680.8,156397.7,83813.1,74469.3,74839.7,87447.8,91890.6,77179.2,72522.1,65639.8,101920.6,179836.3,80418.6,150521.3,71171.7,80455.9,72154.1,87014.9,87625.3,77387.2,56163.8,49621.1,77960.8,130808.0,60966.7,123898.4,61828.5,74244.9,62331.7,66458.5,69595.7,63336.8,0.54,1.5,0.63,1.55,241.21766662597656,288.292724609375,241.0122528076172,-H+,-H+,-H+,C15 H29 O2,C18 H26 O2 D7,C6 H10 O8 P1,C42 H72 D7 O13 P1
IS LPE 18:1(+[2]H7),LPE,485.33804831708494,,C23 H38 D7 O7 N1 P1,,-H+,Internal standard,negative,751659.0,664304.4,819561.3,1467985.0,881171.9,1445694.8,764181.7,756350.1,844756.1,813633.9,684430.2,794834.0,MS2,FragmentA,[PE 18:1(+[2]H7) -H]-,FA 18:1(+[2]H7) (+O),,,562825.6,462252.6,546742.6,988115.0,540816.7,1052178.8,520189.6,501636.2,511346.5,566109.5,503516.1,547210.0,751659.0,664304.4,819561.3,1467985.0,881171.9,1445694.8,764181.7,756350.1,844756.1,813633.9,684430.2,794834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.53,,,288.2926940917969,,,-H+,,,C18 H26 O2 D7,,,C23 H39 D7 O7 N1 P1
IS PC O-18:0p-18:1(+[2]H7),PC O-,839.6857568838466,,C46 H80 D9 O9 N1 P1,,+CH3COO-,Internal standard,negative,285390.8,238141.9,368965.0,744841.6,299922.1,687764.5,306568.0,331781.3,332462.4,309799.5,339565.5,341496.8,MS2,FragmentB,[PC O-18:0p_18:1(+[2]H7) +CH3COO]-,FA O-18:0p (+O),FA 18:1(+[2]H7) (+O),-PC(74),168095.9,50033.7,174046.6,381806.6,80303.1,381125.6,156470.6,66615.9,117367.6,175073.6,60213.4,192204.9,25801.7,23811.5,31745.1,64494.4,27662.4,57870.7,26033.4,32808.2,31023.9,26702.1,23463.8,27151.4,285390.8,238141.9,368965.0,744841.6,299922.1,687764.5,306568.0,331781.3,332462.4,309799.5,339565.5,341496.8,9293.2,7123.2,7593.9,21867.1,10955.7,19250.4,9319.7,10482.2,11725.9,8958.0,11825.9,10320.4,1.45,0.8,0.49,903301.79,492.3463439941406,290.30523681640625,765.6478881835938,-H+,-H+,-H+,C25 H51 N1 O6 P1,C18 H24 D9 O2,C43 H74 D9 O7 N1 P1,C44 H77 D9 O7 N1 P1
IS SM 18:1;(OH)2/18:1(+[2]H9),SM,796.6544756562586,,C43 H75 D9 O8 N2 P1,,+CH3COO-,Internal standard,negative,605256.8,478282.0,686187.8,1452542.5,614542.4,1431129.9,625880.3,627403.7,599969.6,645149.0,614389.3,778750.9,MS2,FragmentA,SM 36:1;(OH)2(+[2]H9) +CH3COO]-,-SM(74),,,390562.9,341690.3,423118.3,962217.2,417934.8,947569.1,400794.4,397037.0,368946.9,452624.3,392786.9,486085.1,605256.8,478282.0,686187.8,1452542.5,614542.4,1431129.9,625880.3,627403.7,599969.6,645149.0,614389.3,778750.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.8,,,722.6173706054688,,,-H+,,,C40 H69 D9 O6 N2 P1,,,C41 H72 D9 O6 N2 P1
