LipidSpecies,LipidClass,Mass,IsobaricClass,ChemicalFormula,DerivatizedForm,AdductIon,LipidCategory,ScanPolarity,Intensity:240506_Blank_49932_a.mzML,Intensity:240506_Blank_49932_b.mzML,Intensity:240506_lung_KO_44938_a.mzML,Intensity:240506_lung_KO_44938_b.mzML,Intensity:240506_lung_KO_44939_a.mzML,Intensity:240506_lung_KO_44939_b.mzML,Intensity:240506_lung_WT_45083_a.mzML,Intensity:240506_lung_WT_45083_b.mzML,Intensity:240506_lung_WT_45084_a.mzML,Intensity:240506_lung_WT_45084_b.mzML,Intensity:240506_QC_49936_a.mzML,Intensity:240506_QC_49936_b.mzML,IdentificationLevel,QuantificationIon,PrecursorIdentifier,FragmentAIdentifier,FragmentBIdentifier,FragmentCIdentifier,PrecursorIntensity:240506_Blank_49932_a.mzML,PrecursorIntensity:240506_Blank_49932_b.mzML,PrecursorIntensity:240506_lung_KO_44938_a.mzML,PrecursorIntensity:240506_lung_KO_44938_b.mzML,PrecursorIntensity:240506_lung_KO_44939_a.mzML,PrecursorIntensity:240506_lung_KO_44939_b.mzML,PrecursorIntensity:240506_lung_WT_45083_a.mzML,PrecursorIntensity:240506_lung_WT_45083_b.mzML,PrecursorIntensity:240506_lung_WT_45084_a.mzML,PrecursorIntensity:240506_lung_WT_45084_b.mzML,PrecursorIntensity:240506_QC_49936_a.mzML,PrecursorIntensity:240506_QC_49936_b.mzML,FragmentAIntensity:240506_Blank_49932_a.mzML,FragmentAIntensity:240506_Blank_49932_b.mzML,FragmentAIntensity:240506_lung_KO_44938_a.mzML,FragmentAIntensity:240506_lung_KO_44938_b.mzML,FragmentAIntensity:240506_lung_KO_44939_a.mzML,FragmentAIntensity:240506_lung_KO_44939_b.mzML,FragmentAIntensity:240506_lung_WT_45083_a.mzML,FragmentAIntensity:240506_lung_WT_45083_b.mzML,FragmentAIntensity:240506_lung_WT_45084_a.mzML,FragmentAIntensity:240506_lung_WT_45084_b.mzML,FragmentAIntensity:240506_QC_49936_a.mzML,FragmentAIntensity:240506_QC_49936_b.mzML,FragmentBIntensity:240506_Blank_49932_a.mzML,FragmentBIntensity:240506_Blank_49932_b.mzML,FragmentBIntensity:240506_lung_KO_44938_a.mzML,FragmentBIntensity:240506_lung_KO_44938_b.mzML,FragmentBIntensity:240506_lung_KO_44939_a.mzML,FragmentBIntensity:240506_lung_KO_44939_b.mzML,FragmentBIntensity:240506_lung_WT_45083_a.mzML,FragmentBIntensity:240506_lung_WT_45083_b.mzML,FragmentBIntensity:240506_lung_WT_45084_a.mzML,FragmentBIntensity:240506_lung_WT_45084_b.mzML,FragmentBIntensity:240506_QC_49936_a.mzML,FragmentBIntensity:240506_QC_49936_b.mzML,FragmentCIntensity:240506_Blank_49932_a.mzML,FragmentCIntensity:240506_Blank_49932_b.mzML,FragmentCIntensity:240506_lung_KO_44938_a.mzML,FragmentCIntensity:240506_lung_KO_44938_b.mzML,FragmentCIntensity:240506_lung_KO_44939_a.mzML,FragmentCIntensity:240506_lung_KO_44939_b.mzML,FragmentCIntensity:240506_lung_WT_45083_a.mzML,FragmentCIntensity:240506_lung_WT_45083_b.mzML,FragmentCIntensity:240506_lung_WT_45084_a.mzML,FragmentCIntensity:240506_lung_WT_45084_b.mzML,FragmentCIntensity:240506_QC_49936_a.mzML,FragmentCIntensity:240506_QC_49936_b.mzML,PrecursorERRppm,FragmentAERRppm,FragmentBERRppm,FragmentCERRppm,FragmentAMass,FragmentBMass,FragmentCMass,FragmentAAdductIon,FragmentBAdductIon,FragmentCAdductIon,FragmentAChemicalFormula,FragmentBChemicalFormula,FragmentCChemicalFormula,NeutralChemicalFormula
IS LPC 18:1(+[2]H7),LPC,587.4063702422334,,C28 H48 D7 O9 N1 P1,,+CH3COO-,Internal standard,negative,2497634.9,2305646.0,1386057.7,1296806.2,1152937.0,1317932.0,1169529.7,1098320.6,1284679.3,1802519.1,1402812.5,1421655.8,MS2,FragmentA,[LPC 18:1 +CH3COO-]-,FA 18:1(+[2]H7) (+O),-PC(74),,1901991.8,1867554.8,907400.9,853637.0,752345.4,854986.8,836041.0,815144.7,1056545.8,1152634.5,1068993.4,1228666.6,2497634.9,2305646.0,1386057.7,1296806.2,1152937.0,1317932.0,1169529.7,1098320.6,1284679.3,1802519.1,1402812.5,1421655.8,400581.1,368033.9,206653.6,204689.3,191560.6,204378.3,187542.7,183751.0,199358.9,257749.9,223327.0,222707.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.42,0.22,,288.29266357421875,74.03710754692088,,-H+,-H+,,C18 H26 D7 O2,C25 H42 D7 O7 N1 P1,,C26 H45 D7 O7 N1 P1
IS LPE 18:1(+[2]H7),LPE,485.3380556163957,,C23 H38 D7 O7 N1 P1,,-H+,Internal standard,negative,1467985.0,1445694.8,819561.3,844756.1,756350.1,881171.9,684430.2,664304.4,751659.0,813633.9,764181.7,794834.0,MS2,FragmentA,[PE 18:1(+[2]H7) -H]-,FA 18:1(+[2]H7) (+O),,,988115.0,1052178.8,546742.6,511346.5,501636.2,540816.7,503516.1,462252.6,562825.6,566109.5,520189.6,547210.0,1467985.0,1445694.8,819561.3,844756.1,756350.1,881171.9,684430.2,664304.4,751659.0,813633.9,764181.7,794834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.31,,,288.2926330566406,,,-H+,,,C18 H26 O2 D7,,,C23 H39 D7 O7 N1 P1
IS Cer 18:1;(OH)2(+[2]H7)/15:0,Cer,589.5545939836032,,C35 H61 D7 N1 O5,,+CH3COO-,Internal standard,negative,13643232.2,14542448.6,3884695.2,3643023.5,3536928.4,3972910.0,3479599.6,3533323.5,5313862.5,6118160.1,5526982.2,6354949.1,MS1,Precursor,[Cer 33:1;2(+CH3COO)-],,,,13643232.2,14542448.6,3884695.2,3643023.5,3536928.4,3972910.0,3479599.6,3533323.5,5313862.5,6118160.1,5526982.2,6354949.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,,,,,,,,,,,,,C33 H58 D7 N1 O3
IS PA 15:0-18:1(+[2]H7),PA,666.5104198065051,,C36 H61 D7 O8 P1,,-H+,Internal standard,negative,167528.9,152975.5,77224.8,70048.2,54605.2,48295.2,47018.3,48604.0,107205.2,125429.9,110942.2,113990.1,MS2,FragmentB,[PA 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),,550015.6,540387.3,204409.2,213928.6,107089.1,144820.3,110461.9,162578.2,345273.5,385472.4,339303.6,347679.4,516571.7,446073.7,219026.6,185256.7,160828.0,144862.2,140868.4,132599.4,326475.3,360719.3,333961.7,322096.3,167528.9,152975.5,77224.8,70048.2,54605.2,48295.2,47018.3,48604.0,107205.2,125429.9,110942.2,113990.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,1.44,0.31,,241.2176513671875,288.2926330566406,,-H+,-H+,,C15 H29 O2,C18 H26 O2 D7,,C36 H62 D7 O8 P1
IS PC 15:0-18:1(+[2]H7),PC,811.6208542764879,,C43 H76 D7 O10 N1 P1,,+CH3COO-,Internal standard,negative,5508925.0,4958265.9,2596447.2,2108556.2,2321772.1,2244895.0,2225277.6,2114301.2,1855311.6,2468216.2,1976996.9,2781782.0,MS2,FragmentB,[PC 15:0_18:1(+[2]H7) +CH3COO]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),-PC(74),180447485262.4,182671462067.6,89419449255.2,74778041956.0,74392817046.9,85639969086.7,68622855054.2,64168132831.7,73667391158.9,82260169318.4,70697292639.5,89212280081.4,1875909.2,1677049.1,678517.4,540417.0,564278.4,551862.9,527259.8,515080.9,463778.3,654582.0,521374.3,669085.2,5508925.0,4958265.9,2596447.2,2108556.2,2321772.1,2244895.0,2225277.6,2114301.2,1855311.6,2468216.2,1976996.9,2781782.0,128616.7,118012.6,56407.0,46975.1,64607.2,46449.5,56974.7,44953.3,50878.2,54275.3,46295.2,85429.0,1.12,1.62,0.42,899622.57,241.2176971435547,288.29266357421875,737.5839233398438,-H+,-H+,-H+,C15 H29 O2,C18 H26 O2 D7,C40 H70 D7 O8 N1 P1,C41 H73 D7 O8 N1 P1
IS PC O-18:0p-18:1(+[2]H7),PC O-,839.6857440436227,,C46 H80 D9 O9 N1 P1,,+CH3COO-,Internal standard,negative,744841.6,687764.5,368965.0,332462.4,331781.3,299922.1,339565.5,238141.9,285390.8,309799.5,306568.0,341496.8,MS2,FragmentB,[PC O-18:0p_18:1(+[2]H7) +CH3COO]-,FA O-18:0p (+O),FA 18:1(+[2]H7) (+O),-PC(74),381806.6,381125.6,174046.6,117367.6,66615.9,80303.1,60213.4,50033.7,168095.9,175073.6,156470.6,192204.9,64494.4,57870.7,31745.1,31023.9,32808.2,27662.4,23463.8,23811.5,25801.7,26702.1,26033.4,27151.4,744841.6,687764.5,368965.0,332462.4,331781.3,299922.1,339565.5,238141.9,285390.8,309799.5,306568.0,341496.8,21867.1,19250.4,7593.9,11725.9,10482.2,10955.7,11825.9,7123.2,9293.2,8958.0,9319.7,10320.4,1.44,0.92,0.59,903301.94,492.3464050292969,290.3052673339844,765.6490478515625,-H+,-H+,-H+,C25 H51 N1 O6 P1,C18 H24 D9 O2,C43 H74 D9 O7 N1 P1,C44 H77 D9 O7 N1 P1
IS PE 15:0-18:1(+[2]H7),PE,709.5527339405643,,C38 H66 D7 O8 N1 P1,,-H+,Internal standard,negative,365933.2,391693.3,272194.6,240811.7,231152.8,233670.8,231993.2,182195.8,165194.3,189536.4,181475.2,193601.0,MS2,FragmentB,[PE 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),,285114.0,292256.5,174845.6,152127.7,155312.8,170782.3,129365.3,120831.7,111989.4,148294.7,102444.6,104515.2,122743.0,131898.6,94850.6,76373.4,90049.8,85240.4,79197.4,60609.1,55064.8,59151.9,62927.0,67290.0,365933.2,391693.3,272194.6,240811.7,231152.8,233670.8,231993.2,182195.8,165194.3,189536.4,181475.2,193601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,1.5,0.42,,241.21766662597656,288.29266357421875,,-H+,-H+,,C15 H29 O2,C18 H26 O2 D7,,C38 H67 D7 O8 N1 P1
IS PE O-18:0p-18:1(+[2]H9),PE O-,737.6173083812349,,C41 H70 D9 O7 N1 P1,,-H+,Internal standard,negative,1538756.8,1394267.1,1228210.0,1070186.0,1146800.1,1150886.2,934494.5,922374.0,760845.4,880432.9,810084.3,869749.3,MS2,FragmentB,[PE O-18:0p-18:1(+[2]H9) -H]-,FA O-18:0p (+O),FA 18:1(+[2]H9) (+O),,926883.8,942680.5,743968.2,651670.8,742537.8,785764.4,616985.5,511005.9,491892.2,536780.6,455032.7,541359.9,132188.6,120040.1,165781.1,127786.6,150988.5,148093.5,131140.3,126471.4,118671.9,113416.7,107911.4,127281.6,1538756.8,1394267.1,1228210.0,1070186.0,1146800.1,1150886.2,934494.5,922374.0,760845.4,880432.9,810084.3,869749.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.69,0.7,,464.3149719238281,290.3052978515625,,-H+,-H+,,C23 H47 O6 N1 P1,C18 H24 D9 O2,,C41 H71 D9 O7 N1 P1
IS PG 15:0-18:1(+[2]H7),PG,740.5472386408105,,C39 H67 D7 O10 P1,,-H+,Internal standard,negative,4015279.8,3905366.8,4975743.4,3604143.1,4678552.7,3890831.8,4067121.4,3199106.2,3578700.1,3866885.0,3691891.2,3902363.0,MS2,FragmentB,[PG 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),,3481713.0,3452761.1,2450161.2,2156865.2,2261814.7,2409426.0,1951373.8,1844007.3,1978877.2,2107468.3,1727520.8,1995713.1,1421207.9,1431646.5,1801101.0,1258048.9,1614651.8,1343835.6,1428354.9,1116759.9,1218023.8,1420328.1,1313422.2,1457917.8,4015279.8,3905366.8,4975743.4,3604143.1,4678552.7,3890831.8,4067121.4,3199106.2,3578700.1,3866885.0,3691891.2,3902363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1.56,0.42,,241.2176818847656,288.29266357421875,,-H+,-H+,,C15 H29 O2,C18 H26 O2 D7,,C39 H68 D7 O10 P1
IS PI 15:0-18:1(+[2]H7),PI,828.5633239566546,,C42 H71 D7 O13 P1,,-H+,Internal standard,negative,179836.3,150521.3,101920.6,72154.1,80455.9,80418.6,87625.3,65639.8,76290.0,91535.8,74869.5,81407.9,MS2,FragmentB,[PI 15:0_18:1(+[2]H7) -H]-,FA 15:0 (+O),FA 18:1(+[2]H7) (+O),PI(241),463510.7,453915.3,229172.2,206160.5,178704.4,201746.3,196395.4,186078.2,224071.3,212750.9,216724.8,209573.9,160886.9,156397.7,93834.5,74188.1,73878.8,71068.4,91245.2,64983.3,69144.1,79065.0,79640.2,69049.9,179836.3,150521.3,101920.6,72154.1,80455.9,80418.6,87625.3,65639.8,76290.0,91535.8,74869.5,81407.9,130808.0,123898.4,77960.8,62331.7,74244.9,60966.7,69595.7,49621.1,59081.8,69911.4,65040.8,66627.5,1.0,1.62,0.74,1.62,241.2176971435547,288.2927551269531,241.01226806640625,-H+,-H+,-H+,C15 H29 O2,C18 H26 O2 D7,C6 H10 O8 P1,C42 H72 D7 O13 P1
